T25,CO2 emission estimates,,,,,
Region/Country/Area,,Year,Series,Value,Footnotes,Source
1,"Total, all countries or areas",1975,Emissions (thousand metric tons of carbon dioxide),"16,853,532",,"Carbon Dioxide Information Analysis Center (CDIAC) of the Oak Ridge National Laboratory, Oak Ridge, Tennessee, U.S.A., database on national CO2 emission estimates, last accessed March 2017."
1,"Total, all countries or areas",1985,Emissions (thousand metric tons of carbon dioxide),"19,864,139",,"Carbon Dioxide Information Analysis Center (CDIAC) of the Oak Ridge National Laboratory, Oak Ridge, Tennessee, U.S.A., database on national CO2 emission estimates, last accessed March 2017."
1,"Total, all countries or areas",1995,Emissions (thousand metric tons of carbon dioxide),"23,120,435",,"Carbon Dioxide Information Analysis Center (CDIAC) of the Oak Ridge National Laboratory, Oak Ridge, Tennessee, U.S.A., database on national CO2 emission estimates, last accessed March 2017."
1,"Total, all countries or areas",2005,Emissions (thousand metric tons of carbon dioxide),"29,490,014",,"Carbon Dioxide Information Analysis Center (CDIAC) of the Oak Ridge National Laboratory, Oak Ridge, Tennessee, U.S.A., database on national CO2 emission estimates, last accessed March 2017."
1,"Total, all countries or areas",2010,Emissions (thousand metric tons of carbon dioxide),"33,472,376",,"Carbon Dioxide Information Analysis Center (CDIAC) of the Oak Ridge National Laboratory, Oak Ridge, Tennessee, U.S.A., database on national CO2 emission estimates, last accessed March 2017."
1,"Total, all countries or areas",2012,Emissions (thousand metric tons of carbon dioxide),"35,470,891",,"Carbon Dioxide Information Analysis Center (CDIAC) of the Oak Ridge National Laboratory, Oak Ridge, Tennessee, U.S.A., database on national CO2 emission estimates, last accessed March 2017."
1,"Total, all countries or areas",2013,Emissions (thousand metric tons of carbon dioxide),"35,837,591",,"Carbon Dioxide Information Analysis Center (CDIAC) of the Oak Ridge National Laboratory, Oak Ridge, Tennessee, U.S.A., database on national CO2 emission estimates, last accessed March 2017."
1,"Total, all countries or areas",2014,Emissions (thousand metric tons of carbon dioxide),"36,138,285",,"Carbon Dioxide Information Analysis Center (CDIAC) of the Oak Ridge National Laboratory, Oak Ridge, Tennessee, U.S.A., database on national CO2 emission estimates, last accessed March 2017."
1,"Total, all countries or areas",1975,Emissions per capita (metric tons of carbon dioxide),4.1,,"Carbon Dioxide Information Analysis Center (CDIAC) of the Oak Ridge National Laboratory, Oak Ridge, Tennessee, U.S.A., database on national CO2 emission estimates, last accessed March 2017."
